Title,Author,Quantity,Genre
Adventures in Ancient Egypt,Linda Bailey,1,Literature
adventures in bikini bottom,molly reisner kim ostrow,1,Literature
Adventures of Danny and the Dinosaur,Syd Hoff,1,Literature
adventures of huckleberry finn,mark twain,4,Literature
adventures of huckleberry finn,mark twaine,1,Literature
Adventures of Sherlock Holmes,Arthur Conan Dyle,1,Literature
Adventures of the Shark Lady,Ann McGovern,1,Literature
adventures of tom sawyer,mark twaine,1,Literature
Aenir,Garth Nix,1,General Knowledge
Africa complete story of the continent,norman lobsenz,1,Literature
african traditions,margaret musgrove,1,General Knowledge
"After Fifth Grade, The World!",Claudia Mills,1,General Knowledge
After the Dancing Days,Margaret I. Rostkowski,1,General Knowledge
After the Holocaust,Howard Greenfield,1,General Knowledge
Afternoon of the Elves,Janet Taylor Lisle,2,General Knowledge
"Again, Joseeina!",Valerie Tripp,1,General Knowledge
Against the odds Shark Bite,Todd Strasser,1,General Knowledge
"Ahoy There, Little Polar Bear",Hans de Beer,1,General Knowledge
Al Capone,Diane Yancey,1,General Knowledge
Al Capone Does my Shirts,Gennifer Choldenko,1,General Knowledge
"Al Capone Shines My Shoes, Another Tale from Alcatraz",Gennifer Choldenko,3,Literature
Aladdin,Rosalind Kerven,1,General Knowledge
Aladdin and the Magic Lamp,Deborah Hautzig,1,Arts and Recreation
Albert Einstein - Creative Genius,"Laurence Santrey, Joanne Mattern",1,General Knowledge
Albert Einstein and the Theory of Relativity,Robert Cwilik,1,General Knowledge
"Albert Einstein, and the Theory of Relativity",Robert Cwiklik,1,General Knowledge
"Albert Einstein, Creative Genius",Joanna Mattern & Laurence Santryy,1,General Knowledge
Albie the Lifeguard,Louise Borden,1,General Knowledge
Alexander and the Dragon,Katharine Holabird,1,General Knowledge
Alexander and the terrible horrible no good very bad day,judith viorst,1,General Knowledge
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Judith Viorst,2,General Knowledge
alexander and the wind up mouse,leo lionn,2,General Knowledge
Alexander and the Wind-Up Mouse,Leo Lionni,1,General Knowledge
Alexander the great,katie marsico,1,General Knowledge
"Alexander, Who Used to be Rich Last Sunday",Ray Cruz,1,General Knowledge
"Alexander, Who's Not (Do you hear me? I mean it!) Going to Move",Judith Viorst,1,General Knowledge
alice and the birthday giant,john f green,1,General Knowledge
"Alice Diary, Living with Diabetes",Marie Gibson,1,Literature
alice in the wonderland,walt disney,1,General Knowledge
Alice in Wonderland,Lewis Caroll,2,General Knowledge
alice in wonderland,lewis carrol,1,General Knowledge
Alice on the Island A Pearl Harbor Story,Mayumi Shimose Poe,3,Literature
Alice Ramsey’s Grand Adventure,Don Brown,1,General Knowledge
Alice's Adventures in Wonderland,Lewis Carroll,1,Literature
Aliens,Jacqueline Mitton,2,General Knowledge
Aliens Ate My Homework,Bruce Coville,2,General Knowledge
Aliens Don't Wear Braces,Debbie Dadey,1,General Knowledge
All ABout Corduroy,Dontreeman,1,General Knowledge
All About Holldiays,Kathleen kain,1,General Knowledge
All About Mechanical Engineering,Don Herweck,1,Technology
All About Niagara Falls,Linda Granfield,1,General Knowledge
All About Sound,Melvin Berger,1,General Knowledge
All in One Piece,Jill Murphy,1,General Knowledge
all kinds of ships,seymour reit,1,General Knowledge
All Night Near The Water,Jim Arnosky,1,General Knowledge
All The Places to Love,Patricia MacLachlan,1,General Knowledge
All the World,Liz Garton Scanlon,1,General Knowledge
All- American Girl,Meg Cabot,1,General Knowledge
All-of-a-Kind Family,Sidney Taylor,1,General Knowledge
Alligator Baby,Robert Munsch,2,General Knowledge
Allosaurus,Ron Wilson,1,General Knowledge
"Almost Gone, The World's Rarest Animals",Steve Jenkins,1,Science
Almost Starring Skinnybonex,Barbara Park,1,General Knowledge
Aloha Means Come Back,"Dorothy Hobbler, Thomas Hobbler",1,General Knowledge
Aloha Means Come Back,"Dorothy Hoobler, Thomas Hoobler",1,General Knowledge
"Altogether, one AT A Time",E.L. Konigsburg,2,General Knowledge
altoona baboona,janie bynum,1,General Knowledge
Always,Ann Scott,1,General Knowledge
Always and Forever,Lurlene McDaniel,3,General Knowledge
always in my heart,m.l. dunham,1,Arts and Recreation
"Amazinf Earth Adventures, A Kid's Earth Adventures",Chapman Mott & Tessa Hill,1,Literature
amazing aircrafts,seymour simon,1,General Knowledge
Amazing Animals Question & Answer Book,"Judy Braus, Jody Marshall, Joyce Altman, and Nancy Hitchner",1,Science
Amazing Beetles,John Still,1,General Knowledge
